user,text,latitude,longitude
caiofelipho,"b""I'm at Sukiya | ??? in S?o Paulo, SP https://t.co/p3s5dWCnIg""",-23.55329832,-46.65502681
HeyIcee,b'? @ 1007 Augusta https://t.co/FNSQW4Dp6A',-23.5510502,-46.6496582
calandrx,b'Achei acidentalmente essa foto linda perdida na minha galeria @ Selva https://t.co/P204RZ5EzE',-23.55163768,-46.65089966
_felipeveiga,b'Pastel - Massa de banha de porco e cacha?a recheado de camar?o ???\n.\nMelhor pastel de sua vida ?? https://t.co/0xyINRdTaM',-23.53773586,-46.65062236
Paulocoach7,b'Show #ligadajusti?a ??? em Cinemark - P?tio Higien?polis https://t.co/BmjukDGiQj',-23.54188048,-46.65731783
imeduardocampos,b'?@brasilboards TEAM?\n??Obrigado galera ! O rol? foi demais !??\n\n@brasilboards / @otangwheels /? https://t.co/AM9cwaim6r',-23.55154855,-46.65082012
CharlesRCSilva,"b'Yakisobinha. #flyingsushisp (@ Flying Sushi in S?o Paulo, SP) https://t.co/zMu9kFrYgz https://t.co/7panGfIrtT'",-23.54995646,-46.66095945
dwjuju123,b'Nada com ter boa noite com amigos que poderiam ter #amomuitodoisso? https://t.co/EyJ2dEhli9',-23.5524597,-46.6532593
CrlFeer,"b'Voc? quer, @? em Espa?o Desmanche https://t.co/xgdh2tnFUy'",-23.5524597,-46.6532593
LucasLuzzi20,b'Eu s? queria entender cad? o Flap? #S?Foi #Chablau em Blitz Haus https://t.co/W1yOI88ZVk',-23.5520067,-46.65231009
caiofelipho,"b""I'm at Espa?o Desmanche in S?o Paulo, SP https://t.co/DQA7FISLgW""",-23.55246622,-46.6532817
mabfontana,"b'Mas, s?o DJs? S?o irm?s? S?o g?meas? Pera, com quem eu tava falando? #lab7 ? @ Lab Club https://t.co/osC1k4DsfF'",-23.55169835,-46.65097195
Lu_Ardigo,b'Diretoria ??? em Double Deck https://t.co/3dHegV4Kmu',-23.54472,-46.66196
bielfranco_,b'?? em 1007 Augusta https://t.co/R04NgzeLHq',-23.5510502,-46.6496582
LuizAlvaro,b'Melhor caf? da cidade! #CasaBauduco do Shopping Higien?polis (@ Casa Bauducco) https://t.co/HypnvRxWW5 https://t.co/wCo7JysADK',-23.54178,-46.657358
bielfranco_,b'?? em 1007 Augusta https://t.co/br7UMSTgMs',-23.5510502,-46.6496582
lucasobs_,b'L i g h t s ?? | #photoshop #adobephotoshop #PS6 #photoedit #design? https://t.co/eaNJIKD1f5',-23.54731099,-46.65194974
_RomuloAugusto,"b""I'm at @VivosBar in S?o Paulo, SP https://t.co/XoJwdEvbed""",-23.55211145,-46.67593224
mylirio,b'Finalmente viemos tomar esse caf? com a Dna Ieda. ?? em Higienopolis? https://t.co/ARUbUaRmN3',-23.54788399,-46.65450287
thaistsuh,"b'Pois ? n? (@ Bar do Meio in S?o Paulo, SP) https://t.co/6PpvEaRZRA'",-23.53960992,-46.64980458
kotydutra,b'Aaaaquele filme de 2h30 excelente que te faz pensar na vida do? https://t.co/oFVXrHqzXr',-23.54628,-46.64875
bielfranco_,b'?? em 1007 Augusta https://t.co/f42BRx2QWa',-23.5510502,-46.6496582
bielfranco_,b'??? em 1007 Augusta https://t.co/PtLrqtO3ZN',-23.5510502,-46.6496582
marciocaparica,b'Encontros felizes na plat?ia da opereta do tupimasala @ Teatro Viradalata https://t.co/u1nPhPhvnQ',-23.54227407,-46.68342711
SammyLuque,"b""I'm at TUCA - Teatro da Universidade Cat?lica de S?o Paulo in S?o Paulo, SP https://t.co/ikVjNCdths https://t.co/pHvqnmI04T""",-23.53859276,-46.6711235
daniyvs,b'#gloriosaSaoPaulo em Santa Cec?lia https://t.co/NvGdnvoSBJ',-23.5387389,-46.649613
romullopontes,"b'N?o gostei. Cheiro de azedo no ar. Entrei e sai. (@ Espa?o Desmanche in S?o Paulo, SP) https://t.co/VVsKm1KRpN'",-23.55246622,-46.6532817
EstevesVivian,"b'? pra prestar aten??o no filme ? n?o ficar fazendo carinho na gata, depois v?o mal na provinha e? https://t.co/CJ7Fmzb3Ej'",-23.547343,-46.649265
LuhMascarenhas,"b'Trago verdades\n.\n""Invista em amizades, se nada der certo, eh ela q? https://t.co/z2xJQOxXEP'",-23.5458188,-46.6501835
flacavasotti,b'e num ? que a coxinha de jaca ? BOA e a jarra de suco de laranja custa s? 7 Re. ??? @ Boteco do? https://t.co/pQSKU2Lhpd',-23.5378599,-46.65043
BeerXp,b'Drinking a Votus N?007 Amarillo by Cervejaria Votus @ Sabor Latino Comer e Beber Artesanal ? https://t.co/MFK4WwCEun',-23.5394,-46.6787
duarteyuri_,b'Just posted a photo @ Shopping P?tio Higien?polis https://t.co/x5qFX7MDIx',-23.5430724,-46.6573905
